"instruction","family","latency","throughput","uops","ports"
"VBLENDPD (XMM, XMM, M128, I8)","AVX","[1;≤8]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VBLENDPD (XMM, XMM, XMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPD (YMM, YMM, M256, I8)","AVX","[1;≤9]","0.33 / 0.40","2 / 2","1*p015+1*p23A"
"VBLENDPD (YMM, YMM, YMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPS (XMM, XMM, M128, I8)","AVX","[1;≤8]","0.33 / 0.33","2 / 2","1*p015+1*p23A"
"VBLENDPS (XMM, XMM, XMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDPS (YMM, YMM, M256, I8)","AVX","[1;≤9]","0.33 / 0.40","2 / 2","1*p015+1*p23A"
"VBLENDPS (YMM, YMM, YMM, I8)","AVX","1","0.33 / 0.33","1 / 1","1*p015"
"VBLENDVPD (XMM, XMM, M128, XMM)","AVX","[2;≤9]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPD (XMM, XMM, XMM, XMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBLENDVPD (YMM, YMM, M256, YMM)","AVX","[2;≤10]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPD (YMM, YMM, YMM, YMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBLENDVPS (XMM, XMM, M128, XMM)","AVX","[2;≤9]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPS (XMM, XMM, XMM, XMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBLENDVPS (YMM, YMM, M256, YMM)","AVX","[2;≤10]","1.00 / 1.00","4 / 4","3*p015+1*p23A"
"VBLENDVPS (YMM, YMM, YMM, YMM)","AVX","[2;3]","1.00 / 1.00","3 / 3","3*p015"
"VBROADCASTF128 (YMM, M128)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
"VBROADCASTSD (YMM, M64)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
"VBROADCASTSS (XMM, M32)","AVX","[≤4;≤7]","0.33 / 0.33","1 / 1","1*p23A"
"VBROADCASTSS (YMM, M32)","AVX","[≤5;≤8]","0.33 / 0.33","1 / 1","1*p23A"
"VCMPPD (XMM, XMM, M128, I8)","AVX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"VCMPPD (XMM, XMM, XMM, I8)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCMPPD (YMM, YMM, M256, I8)","AVX","[4;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"VCMPPD (YMM, YMM, YMM, I8)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCMPPS (XMM, XMM, M128, I8)","AVX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"VCMPPS (XMM, XMM, XMM, I8)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCMPPS (YMM, YMM, M256, I8)","AVX","[4;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"VCMPPS (YMM, YMM, YMM, I8)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCMPSD (XMM, XMM, M64, I8)","AVX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"VCMPSD (XMM, XMM, XMM, I8)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCMPSS (XMM, XMM, M32, I8)","AVX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A"
"VCMPSS (XMM, XMM, XMM, I8)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCOMISD (XMM, M64)","AVX","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A"
"VCOMISD (XMM, XMM)","AVX","≤3","1.00 / 1.00","1 / 1","1*p0"
"VCOMISS (XMM, M32)","AVX","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A"
"VCOMISS (XMM, XMM)","AVX","≤3","1.00 / 1.00","1 / 1","1*p0"
"VCVTDQ2PD (XMM, M64)","AVX","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTDQ2PD (XMM, XMM)","AVX","5","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD (YMM, M128)","AVX","[≤9;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTDQ2PD (YMM, XMM)","AVX","7","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PS (XMM, M128)","AVX","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTDQ2PS (XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
