"instruction","family","latency","throughput","uops","ports"
"PREFETCH_EXCLUSIVE (M512)","3DNOW_PREFETCH","","0.33","1",""
"PREFETCHW (M512)","3DNOW_PREFETCH","","0.33","1",""
"ADCX (R32, M32)","ADOX_ADCX","[1;≤7]","0.50","1",""
"ADCX (R32, R32)","ADOX_ADCX","1","0.50","1",""
"ADCX (R64, M64)","ADOX_ADCX","[1;≤7]","0.50","1",""
"ADCX (R64, R64)","ADOX_ADCX","1","0.50","1",""
"ADOX (R32, M32)","ADOX_ADCX","[1;≤7]","0.37","1",""
"ADOX (R32, R32)","ADOX_ADCX","1","0.33","1",""
"ADOX (R64, M64)","ADOX_ADCX","[1;≤7]","0.37","1",""
"ADOX (R64, R64)","ADOX_ADCX","1","0.33","1",""
"AESDEC (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESDEC (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESDECLAST (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESDECLAST (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESENC (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESENC (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESENCLAST (XMM, M128)","AES","[4;≤12]","0.50 / 0.50","1","1*FP01"
"AESENCLAST (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESIMC (XMM, M128)","AES","≤12","0.50 / 0.50","1","1*FP01"
"AESIMC (XMM, XMM)","AES","4","0.50 / 0.50","1","1*FP01"
"AESKEYGENASSIST (XMM, M128, I8)","AES","≤12","0.50 / 0.50","1","1*FP01"
"AESKEYGENASSIST (XMM, XMM, I8)","AES","4","0.50 / 0.50","1","1*FP01"
"VADDPD (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDPD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDPD (YMM, YMM, M256)","AVX","[3;≤12]","0.50 / 0.50","1","1*FP23"
"VADDPD (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDPS (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDPS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDPS (YMM, YMM, M256)","AVX","[3;≤12]","0.50 / 0.50","1","1*FP23"
"VADDPS (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSD (XMM, XMM, M64)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDSD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSS (XMM, XMM, M32)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDSS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSUBPD (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDSUBPD (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSUBPD (YMM, YMM, M256)","AVX","[3;≤12]","0.50 / 0.50","1","1*FP23"
"VADDSUBPD (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSUBPS (XMM, XMM, M128)","AVX","[3;≤11]","0.50 / 0.50","1","1*FP23"
"VADDSUBPS (XMM, XMM, XMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VADDSUBPS (YMM, YMM, M256)","AVX","[3;≤12]","0.50 / 0.50","1","1*FP23"
"VADDSUBPS (YMM, YMM, YMM)","AVX","3","0.50 / 0.50","1","1*FP23"
"VANDNPD (XMM, XMM, M128)","AVX","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"VANDNPD (XMM, XMM, XMM)","AVX","[0;1]","0.25 / 0.25","1","1*FP0123"
"VANDNPD (YMM, YMM, M256)","AVX","[1;≤10]","0.25 / 0.50","1","1*FP0123"
"VANDNPD (YMM, YMM, YMM)","AVX","[0;1]","0.25 / 0.25","1","1*FP0123"
"VANDNPS (XMM, XMM, M128)","AVX","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"VANDNPS (XMM, XMM, XMM)","AVX","[0;1]","0.25 / 0.25","1","1*FP0123"
"VANDNPS (YMM, YMM, M256)","AVX","[1;≤10]","0.25 / 0.50","1","1*FP0123"
"VANDNPS (YMM, YMM, YMM)","AVX","[0;1]","0.25 / 0.25","1","1*FP0123"
"VANDPD (XMM, XMM, M128)","AVX","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"VANDPD (XMM, XMM, XMM)","AVX","1","0.25 / 0.25","1","1*FP0123"
"VANDPD (YMM, YMM, M256)","AVX","[1;≤10]","0.25 / 0.50","1","1*FP0123"
"VANDPD (YMM, YMM, YMM)","AVX","1","0.25 / 0.25","1","1*FP0123"
"VANDPS (XMM, XMM, M128)","AVX","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"VANDPS (XMM, XMM, XMM)","AVX","1","0.25 / 0.25","1","1*FP0123"
"VANDPS (YMM, YMM, M256)","AVX","[1;≤10]","0.25 / 0.50","1","1*FP0123"
"VANDPS (YMM, YMM, YMM)","AVX","1","0.25 / 0.25","1","1*FP0123"
"VBLENDPD (XMM, XMM, M128, I8)","AVX","[1;≤9]","0.50 / 0.50","1","1*FP01"
"VBLENDPD (XMM, XMM, XMM, I8)","AVX","1","0.50 / 0.50","1","1*FP01"
"VBLENDPD (YMM, YMM, M256, I8)","AVX","[1;≤10]","0.50 / 0.50","1","1*FP01"
"VBLENDPD (YMM, YMM, YMM, I8)","AVX","1","0.50 / 0.50","1","1*FP01"
"VBLENDPS (XMM, XMM, M128, I8)","AVX","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"VBLENDPS (XMM, XMM, XMM, I8)","AVX","1","0.25 / 0.25","1","1*FP0123"
"VBLENDPS (YMM, YMM, M256, I8)","AVX","[1;≤10]","0.25 / 0.50","1","1*FP0123"
"VBLENDPS (YMM, YMM, YMM, I8)","AVX","1","0.25 / 0.25","1","1*FP0123"
"VBLENDVPD (XMM, XMM, M128, XMM)","AVX","[1;≤9]","0.50 / 0.50","1","1*FP01"
"VBLENDVPD (XMM, XMM, XMM, XMM)","AVX","1","0.50 / 0.50","1","1*FP01"
"VBLENDVPD (YMM, YMM, M256, YMM)","AVX","[1;≤10]","0.50 / 0.50","1","1*FP01"
"VBLENDVPD (YMM, YMM, YMM, YMM)","AVX","1","0.50 / 0.50","1","1*FP01"
"VBLENDVPS (XMM, XMM, M128, XMM)","AVX","[1;≤9]","0.50 / 0.50","1","1*FP01"
"VBLENDVPS (XMM, XMM, XMM, XMM)","AVX","1","0.50 / 0.50","1","1*FP01"
"VBLENDVPS (YMM, YMM, M256, YMM)","AVX","[1;≤10]","0.50 / 0.50","1","1*FP01"
"VBLENDVPS (YMM, YMM, YMM, YMM)","AVX","1","0.50 / 0.50","1","1*FP01"
"VBROADCASTF128 (YMM, M128)","AVX","≤8","0.50","1",""
"VBROADCASTSD (YMM, M64)","AVX","≤8","0.50","1",""
"VBROADCASTSS (XMM, M32)","AVX","≤8","0.50","1",""
"VBROADCASTSS (YMM, M32)","AVX","≤8","0.50","1",""
"VCMPPD (XMM, XMM, M128, I8)","AVX","[2;≤10]","0.50 / 0.50","1","1*FP23"
"VCMPPD (XMM, XMM, XMM, I8)","AVX","2","0.50 / 0.50","1","1*FP23"
"VCMPPD (YMM, YMM, M256, I8)","AVX","[2;≤11]","0.50 / 0.50","1","1*FP23"
"VCMPPD (YMM, YMM, YMM, I8)","AVX","2","0.50 / 0.50","1","1*FP23"
"VCMPPS (XMM, XMM, M128, I8)","AVX","[2;≤10]","0.50 / 0.50","1","1*FP23"
