"instruction","family","latency","throughput","uops","ports"
"SETZ (M8)","BASE","[≤5;≤11]","1.00 / 1.00","2 / 3","1*p06+1*p237+1*p4"
"SETZ (R8h)","BASE","1","0.50 / 0.52","1 / 1","1*p06"
"SETZ (R8l)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SGDT (M80)","BASE","≤21","3.00 / 8.00","10 / 11","4*p06+3*p1+1*p23+1*p237+2*p4"
"SHL (M16, 0)","BASE","[4;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M16, 1)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M16, CL)","BASE","[2;≤11]","1.50 / 4.00","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHL (M16, I8)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M32, 0)","BASE","[4;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M32, 1)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M32, CL)","BASE","[2;≤10]","1.50 / 4.00","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHL (M32, I8)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M64, 0)","BASE","[4;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M64, 1)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M64, CL)","BASE","[2;≤10]","1.50 / 3.98","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHL (M64, I8)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M8, 0)","BASE","[4;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M8, 1)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (M8, CL)","BASE","[2;≤11]","1.50 / 3.98","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHL (M8, I8)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHL (R16, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R16, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R16, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHL (R16, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R32, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R32, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R32, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHL (R32, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R64, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R64, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R64, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHL (R64, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R8h, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R8h, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R8h, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHL (R8h, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL (R8l, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHL_R0 (R8l, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL_R0 (R8l, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL_R0 (R8l, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL_R4 (R8l, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL_R4 (R8l, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHL_R4 (R8l, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHLD (M16, R16, 0)","BASE","[6;≤16]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHLD (M16, R16, CL)","BASE","[2;≤16]","1.00 / 3.98","5 / 7","1*p0156+2*p06+1*p1+1*p23+1*p237+1*p4"
"SHLD (M16, R16, I8)","BASE","[4;≤16]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHLD (M32, R32, 0)","BASE","[≤6;≤15]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHLD (M32, R32, CL)","BASE","[2;≤15]","1.00 / 4.00","5 / 7","1*p0156+2*p06+1*p1+1*p23+1*p237+1*p4"
"SHLD (M32, R32, I8)","BASE","[4;≤15]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHLD (M64, R64, 0)","BASE","[≤6;≤15]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHLD (M64, R64, CL)","BASE","[2;≤15]","1.00 / 3.98","5 / 7","1*p0156+2*p06+1*p1+1*p23+1*p237+1*p4"
"SHLD (M64, R64, I8)","BASE","[4;≤15]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHLD_CL (R16, R16, CL)","BASE","[2;5]","1.00 / 1.30","4 / 4","1*p0156+2*p06+1*p1"
"SHLD_CL (R32, R32, CL)","BASE","[1;5]","1.00 / 1.29","4 / 4","1*p0156+2*p06+1*p1"
"SHLD_CL (R64, R64, CL)","BASE","[1;5]","1.00 / 1.30","4 / 4","1*p0156+2*p06+1*p1"
"SHLD_IMMB (R16, R16, 0)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHLD_IMMB (R16, R16, I8)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHLD_IMMB (R32, R32, 0)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHLD_IMMB (R32, R32, I8)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHLD_IMMB (R64, R64, 0)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHLD_IMMB (R64, R64, I8)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHR (M16, 0)","BASE","[4;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M16, 1)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M16, CL)","BASE","[2;≤11]","1.50 / 4.00","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHR (M16, I8)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M32, 0)","BASE","[4;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M32, 1)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M32, CL)","BASE","[2;≤10]","1.50 / 4.00","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHR (M32, I8)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M64, 0)","BASE","[4;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M64, 1)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M64, CL)","BASE","[2;≤10]","1.50 / 4.00","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHR (M64, I8)","BASE","[≤3;≤10]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M8, 0)","BASE","[4;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M8, 1)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (M8, CL)","BASE","[2;≤11]","1.50 / 4.00","5 / 6","3*p06+1*p23+1*p237+1*p4"
"SHR (M8, I8)","BASE","[≤3;≤11]","1.00 / 1.00","3 / 4","1*p06+1*p23+1*p237+1*p4"
"SHR (R16, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R16, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R16, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHR (R16, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R32, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R32, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R32, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHR (R32, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R64, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R64, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R64, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHR (R64, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R8h, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R8h, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R8h, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHR (R8h, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR (R8l, CL)","BASE","[0;2]","1.50 / 1.50","3 / 3","3*p06"
"SHR_R0 (R8l, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR_R0 (R8l, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR_R0 (R8l, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR_R4 (R8l, 0)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR_R4 (R8l, 1)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHR_R4 (R8l, I8)","BASE","1","0.50 / 0.50","1 / 1","1*p06"
"SHRD (M16, R16, 0)","BASE","[≤6;≤17]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHRD (M16, R16, CL)","BASE","[2;≤17]","1.00 / 4.00","5 / 7","1*p0156+2*p06+1*p1+1*p23+1*p237+1*p4"
"SHRD (M16, R16, I8)","BASE","[3;≤17]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHRD (M32, R32, 0)","BASE","[≤5;≤16]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHRD (M32, R32, CL)","BASE","[2;≤16]","1.00 / 4.00","5 / 7","1*p0156+2*p06+1*p1+1*p23+1*p237+1*p4"
"SHRD (M32, R32, I8)","BASE","[3;≤16]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHRD (M64, R64, 0)","BASE","[≤5;≤16]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHRD (M64, R64, CL)","BASE","[2;≤16]","1.00 / 4.00","5 / 7","1*p0156+2*p06+1*p1+1*p23+1*p237+1*p4"
"SHRD (M64, R64, I8)","BASE","[3;≤16]","1.00 / 1.00","3 / 5","1*p0156+1*p1+1*p23+1*p237+1*p4"
"SHRD_CL (R16, R16, CL)","BASE","[2;5]","1.00 / 1.30","4 / 4","1*p0156+2*p06+1*p1"
"SHRD_CL (R32, R32, CL)","BASE","[1;5]","1.00 / 1.30","4 / 4","1*p0156+2*p06+1*p1"
