"instruction","family","latency","throughput","uops","ports"
"VGETMANTSD_Z (XMM, K, XMM, M64, I8)","AVX512EVEX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGETMANTSD_Z (XMM, K, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGETMANTSS (XMM, K, XMM, M32, I8)","AVX512EVEX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGETMANTSS (XMM, K, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGETMANTSS (XMM, XMM, M32, I8)","AVX512EVEX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGETMANTSS (XMM, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGETMANTSS_SAE (XMM, K, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGETMANTSS_SAE (XMM, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGETMANTSS_SAE_Z (XMM, K, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGETMANTSS_Z (XMM, K, XMM, M32, I8)","AVX512EVEX","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGETMANTSS_Z (XMM, K, XMM, XMM, I8)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEINVQB (XMM, K, XMM, M128, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB (XMM, K, XMM, M64_1to2, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB (XMM, K, XMM, XMM, I8)","AVX512EVEX","[7;9]","0.50 / 0.52","1 / 1","1*p01"
"VGF2P8AFFINEINVQB (YMM, K, YMM, M256, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB (YMM, K, YMM, M64_1to4, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB (YMM, K, YMM, YMM, I8)","AVX512EVEX","[7;9]","0.50 / 0.52","1 / 1","1*p01"
"VGF2P8AFFINEINVQB (ZMM, K, ZMM, M512, I8)","AVX512EVEX","[7;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEINVQB (ZMM, K, ZMM, M64_1to8, I8)","AVX512EVEX","[7;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEINVQB (ZMM, K, ZMM, ZMM, I8)","AVX512EVEX","[7;9]","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8AFFINEINVQB (ZMM, ZMM, M512, I8)","AVX512EVEX","[5;≤12]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEINVQB (ZMM, ZMM, M64_1to8, I8)","AVX512EVEX","[5;≤12]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEINVQB (ZMM, ZMM, ZMM, I8)","AVX512EVEX","5","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8AFFINEINVQB_EVEX (XMM, XMM, M128, I8)","AVX512EVEX","[5;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_EVEX (XMM, XMM, M64_1to2, I8)","AVX512EVEX","[5;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_EVEX (XMM, XMM, XMM, I8)","AVX512EVEX","5","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEINVQB_EVEX (YMM, YMM, M256, I8)","AVX512EVEX","[5;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_EVEX (YMM, YMM, M64_1to4, I8)","AVX512EVEX","[5;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_EVEX (YMM, YMM, YMM, I8)","AVX512EVEX","5","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEINVQB_Z (XMM, K, XMM, M128, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_Z (XMM, K, XMM, M64_1to2, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_Z (XMM, K, XMM, XMM, I8)","AVX512EVEX","[9;10]","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEINVQB_Z (YMM, K, YMM, M256, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_Z (YMM, K, YMM, M64_1to4, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEINVQB_Z (YMM, K, YMM, YMM, I8)","AVX512EVEX","[9;10]","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEINVQB_Z (ZMM, K, ZMM, M512, I8)","AVX512EVEX","[9;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEINVQB_Z (ZMM, K, ZMM, M64_1to8, I8)","AVX512EVEX","[9;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEINVQB_Z (ZMM, K, ZMM, ZMM, I8)","AVX512EVEX","[9;10]","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8AFFINEQB (XMM, K, XMM, M128, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB (XMM, K, XMM, M64_1to2, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB (XMM, K, XMM, XMM, I8)","AVX512EVEX","[7;9]","0.50 / 0.52","1 / 1","1*p01"
"VGF2P8AFFINEQB (YMM, K, YMM, M256, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.54","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB (YMM, K, YMM, M64_1to4, I8)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB (YMM, K, YMM, YMM, I8)","AVX512EVEX","[7;9]","0.50 / 0.52","1 / 1","1*p01"
"VGF2P8AFFINEQB (ZMM, K, ZMM, M512, I8)","AVX512EVEX","[7;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEQB (ZMM, K, ZMM, M64_1to8, I8)","AVX512EVEX","[7;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEQB (ZMM, K, ZMM, ZMM, I8)","AVX512EVEX","[7;9]","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8AFFINEQB (ZMM, ZMM, M512, I8)","AVX512EVEX","[5;≤12]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEQB (ZMM, ZMM, M64_1to8, I8)","AVX512EVEX","[5;≤12]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEQB (ZMM, ZMM, ZMM, I8)","AVX512EVEX","5","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8AFFINEQB_EVEX (XMM, XMM, M128, I8)","AVX512EVEX","[5;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_EVEX (XMM, XMM, M64_1to2, I8)","AVX512EVEX","[5;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_EVEX (XMM, XMM, XMM, I8)","AVX512EVEX","5","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEQB_EVEX (YMM, YMM, M256, I8)","AVX512EVEX","[5;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_EVEX (YMM, YMM, M64_1to4, I8)","AVX512EVEX","[5;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_EVEX (YMM, YMM, YMM, I8)","AVX512EVEX","5","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEQB_Z (XMM, K, XMM, M128, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_Z (XMM, K, XMM, M64_1to2, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_Z (XMM, K, XMM, XMM, I8)","AVX512EVEX","[9;10]","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEQB_Z (YMM, K, YMM, M256, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_Z (YMM, K, YMM, M64_1to4, I8)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8AFFINEQB_Z (YMM, K, YMM, YMM, I8)","AVX512EVEX","[9;10]","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8AFFINEQB_Z (ZMM, K, ZMM, M512, I8)","AVX512EVEX","[9;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEQB_Z (ZMM, K, ZMM, M64_1to8, I8)","AVX512EVEX","[9;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8AFFINEQB_Z (ZMM, K, ZMM, ZMM, I8)","AVX512EVEX","[9;10]","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8MULB (XMM, K, XMM, M128)","AVX512EVEX","[7;≤15]","0.50 / 0.54","2 / 2","1*p01+1*p23"
"VGF2P8MULB (XMM, K, XMM, XMM)","AVX512EVEX","[7;9]","0.50 / 0.52","1 / 1","1*p01"
"VGF2P8MULB (YMM, K, YMM, M256)","AVX512EVEX","[7;≤15]","0.50 / 0.55","2 / 2","1*p01+1*p23"
"VGF2P8MULB (YMM, K, YMM, YMM)","AVX512EVEX","[7;9]","0.50 / 0.52","1 / 1","1*p01"
"VGF2P8MULB (ZMM, K, ZMM, M512)","AVX512EVEX","[7;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8MULB (ZMM, K, ZMM, ZMM)","AVX512EVEX","[7;9]","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8MULB (ZMM, ZMM, M512)","AVX512EVEX","[5;≤12]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8MULB (ZMM, ZMM, ZMM)","AVX512EVEX","5","1.00 / 1.00","1 / 1","1*p0"
"VGF2P8MULB_EVEX (XMM, XMM, M128)","AVX512EVEX","[5;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23"
