"instruction","family","latency","throughput","uops","ports"
"VADDPS_Z (XMM, K, XMM, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_Z (XMM, K, XMM, M32_1to4)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_Z (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPS_Z (YMM, K, YMM, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_Z (YMM, K, YMM, M32_1to8)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_Z (YMM, K, YMM, YMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPS_Z (ZMM, K, ZMM, M32_1to16)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPS_Z (ZMM, K, ZMM, M512)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPS_Z (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDSD (XMM, K, XMM, M64)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDSD (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDSD_ER (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDSD_ER_Z (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDSD_EVEX (XMM, XMM, M64)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDSD_EVEX (XMM, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDSD_EVEX_ER (XMM, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDSD_Z (XMM, K, XMM, M64)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDSD_Z (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
