"instruction","family","latency","throughput","uops","ports"
"VCMPPS (K, K, YMM, M256, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS (K, K, YMM, M32_1to8, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS (K, K, YMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPPS (K, K, ZMM, M32_1to16, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS (K, K, ZMM, M512, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS (K, K, ZMM, ZMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPPS (K, ZMM, M32_1to16, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS (K, ZMM, M512, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS (K, ZMM, ZMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPPS_EVEX (K, XMM, M128, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS_EVEX (K, XMM, M32_1to4, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS_EVEX (K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPPS_EVEX (K, YMM, M256, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS_EVEX (K, YMM, M32_1to8, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPPS_EVEX (K, YMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPPS_SAE (K, K, ZMM, ZMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPPS_SAE (K, ZMM, ZMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSD (K, K, XMM, M64, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPSD (K, K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSD_EVEX (K, XMM, M64, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPSD_EVEX (K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSD_EVEX_SAE (K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSD_SAE (K, K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSS (K, K, XMM, M32, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPSS (K, K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSS_EVEX (K, XMM, M32, I8)","AVX512EVEX","3","1.00 / 1.00","2 / 2","1*p23+1*p5"
"VCMPSS_EVEX (K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSS_EVEX_SAE (K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCMPSS_SAE (K, K, XMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VCOMISD_EVEX (XMM, M64)","AVX512EVEX","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VCOMISD_EVEX (XMM, XMM)","AVX512EVEX","≤3","1.00 / 1.00","1 / 1","1*p0"
"VCOMISD_EVEX_SAE (XMM, XMM)","AVX512EVEX","≤3","1.00 / 1.00","1 / 1","1*p0"
"VCOMISS_EVEX (XMM, M32)","AVX512EVEX","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VCOMISS_EVEX (XMM, XMM)","AVX512EVEX","≤3","1.00 / 1.00","1 / 1","1*p0"
"VCOMISS_EVEX_SAE (XMM, XMM)","AVX512EVEX","≤3","1.00 / 1.00","1 / 1","1*p0"
"VCOMPRESSPD (M128, K, XMM)","AVX512EVEX","[≤10;≤15]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPD (M128, XMM)","AVX512EVEX","[≤8;≤10]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPD (M256, K, YMM)","AVX512EVEX","[≤10;≤15]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPD (M256, YMM)","AVX512EVEX","[≤8;≤10]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPD (M512, K, ZMM)","AVX512EVEX","[≤10;≤15]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPD (M512, ZMM)","AVX512EVEX","[≤8;≤10]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPD (XMM, K, XMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD (XMM, XMM)","AVX512EVEX","3","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD (YMM, K, YMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD (YMM, YMM)","AVX512EVEX","3","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD (ZMM, K, ZMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD (ZMM, ZMM)","AVX512EVEX","3","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD_Z (XMM, K, XMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD_Z (YMM, K, YMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPD_Z (ZMM, K, ZMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS (M128, K, XMM)","AVX512EVEX","[≤10;≤15]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPS (M128, XMM)","AVX512EVEX","[≤8;≤10]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPS (M256, K, YMM)","AVX512EVEX","[≤10;≤15]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPS (M256, YMM)","AVX512EVEX","[≤8;≤10]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPS (M512, K, ZMM)","AVX512EVEX","[≤10;≤15]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPS (M512, ZMM)","AVX512EVEX","[≤8;≤10]","2.00 / 2.00","3 / 4","1*p237+1*p4+2*p5"
"VCOMPRESSPS (XMM, K, XMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS (XMM, XMM)","AVX512EVEX","3","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS (YMM, K, YMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS (YMM, YMM)","AVX512EVEX","3","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS (ZMM, K, ZMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS (ZMM, ZMM)","AVX512EVEX","3","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS_Z (XMM, K, XMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS_Z (YMM, K, YMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCOMPRESSPS_Z (ZMM, K, ZMM)","AVX512EVEX","[3;6]","2.00 / 2.00","2 / 2","2*p5"
"VCVTDQ2PD (XMM, K, M32_1to2)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD (XMM, K, M64)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD (XMM, K, XMM)","AVX512EVEX","[4;5]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD (YMM, K, M128)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD (YMM, K, M32_1to4)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD (YMM, K, XMM)","AVX512EVEX","[4;7]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD (ZMM, K, M256)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VCVTDQ2PD (ZMM, K, M32_1to8)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VCVTDQ2PD (ZMM, K, YMM)","AVX512EVEX","[4;7]","1.00 / 1.00","2 / 2","1*p0+1*p5"
"VCVTDQ2PD (ZMM, M256)","AVX512EVEX","[≤9;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VCVTDQ2PD (ZMM, M32_1to8)","AVX512EVEX","[≤9;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VCVTDQ2PD (ZMM, YMM)","AVX512EVEX","7","1.00 / 1.00","2 / 2","1*p0+1*p5"
"VCVTDQ2PD_EVEX (XMM, M32_1to2)","AVX512EVEX","[≤8;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_EVEX (XMM, M64)","AVX512EVEX","[≤8;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_EVEX (XMM, XMM)","AVX512EVEX","5","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD_EVEX (YMM, M128)","AVX512EVEX","[≤9;≤12]","0.50 / 0.52","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_EVEX (YMM, M32_1to4)","AVX512EVEX","[≤9;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_EVEX (YMM, XMM)","AVX512EVEX","7","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD_Z (XMM, K, M32_1to2)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_Z (XMM, K, M64)","AVX512EVEX","[4;≤11]","0.50 / 0.52","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_Z (XMM, K, XMM)","AVX512EVEX","[4;5]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD_Z (YMM, K, M128)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_Z (YMM, K, M32_1to4)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PD_Z (YMM, K, XMM)","AVX512EVEX","[4;7]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTDQ2PD_Z (ZMM, K, M256)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VCVTDQ2PD_Z (ZMM, K, M32_1to8)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VCVTDQ2PD_Z (ZMM, K, YMM)","AVX512EVEX","[4;7]","1.00 / 1.00","2 / 2","1*p0+1*p5"
"VCVTDQ2PS (XMM, K, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PS (XMM, K, M32_1to4)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VCVTDQ2PS (XMM, K, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VCVTDQ2PS (YMM, K, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
